Date,Action,Price,Shares,Amount,Fee,Profit/Loss
2023-04-26 19:25:00,Buy,1904.97,0.052310535074043166,100.0,0.35000000000000003,
2023-04-26 19:30:00,Buy,1888.98,0.05275333778017766,100.0,0.35000000000000003,
2023-04-26 19:35:00,Buy,1847.88,0.05392666190445267,100.0,0.35000000000000003,
2023-04-26 19:40:00,Buy,1847.63,0.053933958638904975,100.0,0.35000000000000003,
2023-04-26 19:45:00,Buy,1836.22,0.05426909629565085,100.0,0.35000000000000003,
2023-04-26 19:50:00,Buy,1845.03,0.05400996189763852,100.0,0.35000000000000003,
2023-04-26 20:00:00,Buy,1802.5,0.055284327323162276,100.0,0.35000000000000003,
2023-04-26 20:05:00,Buy,1810.06,0.05505342364341514,100.0,0.35000000000000003,
2023-04-26 23:35:00,Buy,1863.43,0.05347665326843509,100.0,0.35000000000000003,
2023-04-27 01:25:00,Buy,1904.58,0.05232124667905785,100.0,0.35000000000000003,
2023-04-29 13:55:00,Sell,1913.93,0.052310535074043166,100.11870239426344,0.35041545837992205,-0.23171306411648518
2023-04-30 15:05:00,Sell,1917.3,0.05275333778017766,101.14397452593462,0.3540039108407712,0.7899706150938527
2023-04-30 15:20:00,Sell,1928.57,0.05392666190445267,104.00134234907028,0.364004698221746,3.6373376508485387
2023-04-30 15:50:00,Buy,1923.58,0.051804447956414604,100.0,0.35000000000000003,
2023-04-30 20:05:00,Buy,1890.19,0.052719567874129056,100.0,0.35000000000000003,
2023-05-01 00:00:00,Buy,1881.91,0.0529515226551748,100.0,0.35000000000000003,
2023-05-02 14:25:00,Sell,1853.08,0.053933958638904975,99.94394007458203,0.34980379026103714,-0.40586371567900636
2023-05-02 14:30:00,Sell,1849.77,0.05426909629565085,100.38534625480607,0.35134871189182126,0.03399754291424495
2023-05-03 17:45:00,Sell,1879.78,0.05400996189763852,101.52684617594294,0.3553439616158003,1.1715022143271354
2023-05-03 21:25:00,Sell,1888.14,0.055284327323162276,104.38454979195562,0.3653459242718447,4.0192038676837765
2023-05-03 22:20:00,Sell,1915.4,0.05505342364341514,105.44932764659735,0.36907264676309076,5.0802549998342625
2023-05-03 22:25:00,Sell,1909.49,0.05347665326843509,102.11313464954412,0.35739597127340444,1.7557386782707176
2023-05-05 13:45:00,Sell,1931.16,0.05232124667905785,101.04069873672937,0.3536424455785528,0.6870562911508153
2023-05-05 14:40:00,Sell,1951.69,0.051804447956414604,101.10622303205481,0.3538717806121919,0.752351251442622
2023-05-06 08:05:00,Buy,1941.93,0.051314928962423983,100.0,0.35000000000000003,
2023-05-06 14:10:00,Buy,1882.5,0.05293492695883134,100.0,0.35000000000000003,
2023-05-07 23:50:00,Buy,1883.5,0.0529068224050969,100.0,0.35000000000000003,
2023-05-07 23:55:00,Buy,1874.06,0.05317332422654558,100.0,0.35000000000000003,
2023-05-08 00:00:00,Buy,1874.51,0.05316055929282853,100.0,0.35000000000000003,
2023-05-08 01:45:00,Buy,1852.11,0.053803499792128985,100.0,0.35000000000000003,
2023-05-08 18:00:00,Buy,1820.32,0.054743122088424016,100.0,0.35000000000000003,
2023-05-08 18:05:00,Buy,1821.86,0.054696848275937786,100.0,0.35000000000000003,
2023-05-09 17:00:00,Sell,1851.0,0.052719567874129056,97.58392013501289,0.3415437204725451,-2.7576235854596565
2023-05-10 12:50:00,Sell,1879.18,0.0529515226551748,99.50544234315137,0.34826904820102983,-0.8428267050496572
2023-05-10 17:15:00,Buy,1817.28,0.05483469801021307,100.0,0.35000000000000003,
2023-05-10 17:20:00,Buy,1799.02,0.055391268579559984,100.0,0.35000000000000003,
2023-05-10 19:05:00,Sell,1854.19,0.051314928962423983,95.14762813283693,0.33301669846492926,-5.185388565628001
2023-05-10 21:25:00,Buy,1844.3,0.054031339803719575,100.0,0.35000000000000003,
2023-05-11 19:15:00,Sell,1792.75,0.05293492695883134,94.89909030544489,0.3321468160690571,-5.433056510624171
2023-05-12 05:55:00,Buy,1749.2,0.05696890006860279,100.0,0.35000000000000003,
2023-05-15 01:25:00,Sell,1809.21,0.0529068224050969,95.71955216352536,0.33501843257233876,-4.6154662690469745
2023-05-15 01:35:00,Sell,1819.96,0.05317332422654558,96.7733231593439,0.33870663105770366,-3.5653834717138007
2023-05-15 01:40:00,Sell,1820.14,0.05316055929282853,96.75966039124893,0.33865881136937126,-3.578998420120443
2023-05-18 21:40:00,Sell,1816.64,0.053803499792128985,97.7415898623732,0.3420955645183062,-2.600505702145103
2023-05-19 15:25:00,Sell,1813.3,0.054743122088424016,99.26570328293927,0.34742996149028743,-1.081726678551017
2023-05-22 13:40:00,Sell,1825.11,0.054696848275937786,99.82776475689681,0.34939717664913883,-0.5216324197523268
2023-05-23 01:30:00,Sell,1837.68,0.05483469801021307,100.76862783940835,0.35269019743792923,0.41593764197042377
2023-05-23 01:35:00,Sell,1836.73,0.055391268579559984,101.73880473813522,0.35608581658347327,1.382718921551742
2023-05-23 03:25:00,Sell,1863.56,0.054031339803719575,100.69064360461965,0.3524172526161688,0.338226352003483
2023-05-24 13:55:00,Buy,1803.09,0.05526623740356833,100.0,0.35000000000000003,
2023-05-25 01:30:00,Buy,1777.77,0.05605337023349478,100.0,0.35000000000000003,
2023-05-25 12:10:00,Sell,1803.25,0.05696890006860279,102.72916904870799,0.35955209167047797,2.3696169570375094
2023-05-26 14:35:00,Sell,1831.45,0.05526623740356833,101.21735049276522,0.3542607267246783,0.8630897660405421
2023-05-28 00:45:00,Sell,1837.72,0.05605337023349478,103.01039954549802,0.36053639840924306,2.649863147088775
2023-06-01 02:50:00,Buy,1854.63,0.05373039366342613,100.0,0.35000000000000003,
2023-06-05 16:00:00,Buy,1784.33,0.05584729282139515,100.0,0.35000000000000003,
2023-06-05 16:05:00,Buy,1810.36,0.055044300581099895,100.0,0.35000000000000003,
2023-06-06 14:05:00,Sell,1833.7,0.05373039366342613,98.52542286062449,0.3448389800121857,-1.8194161193876979
2023-06-06 17:30:00,Sell,1877.24,0.05584729282139515,104.83877197603584,0.36693570191612546,4.471836274119719
2023-06-08 14:35:00,Sell,1856.5,0.055044300581099895,102.18974402881196,0.3576641041008419,1.8320799247111164
2023-06-10 04:25:00,Buy,1795.88,0.055488117246141166,100.0,0.35000000000000003,
2023-06-10 04:30:00,Buy,1795.45,0.05550140633267426,100.0,0.35000000000000003,
2023-06-10 05:50:00,Buy,1751.09,0.05690741195483956,100.0,0.35000000000000003,
2023-06-10 18:25:00,Buy,1736.46,0.057386867535100146,100.0,0.35000000000000003,
2023-06-12 02:25:00,Buy,1728.8,0.05764113836186951,100.0,0.35000000000000003,
2023-06-12 02:30:00,Buy,1730.18,0.05759516350899906,100.0,0.35000000000000003,
2023-06-12 09:10:00,Sell,1752.48,0.055488117246141166,97.24181571151748,0.3403463549903112,-3.098530643472836
2023-06-14 20:10:00,Buy,1686.1,0.05910088369610344,100.0,0.35000000000000003,
2023-06-14 20:35:00,Buy,1659.9,0.060033736972106753,100.0,0.35000000000000003,
2023-06-14 20:45:00,Buy,1644.81,0.06058450520120866,100.0,0.35000000000000003,
2023-06-14 20:50:00,Buy,1647.74,0.06047677424836443,100.0,0.35000000000000003,
2023-06-16 16:00:00,Sell,1678.03,0.05550140633267426,93.13302486841738,0.3259655870394608,-7.192940718622081
2023-06-16 18:10:00,Sell,1722.53,0.05690741195483956,98.02472431456978,0.34308653510099424,-2.3183622205312133
2023-06-19 18:10:00,Sell,1744.88,0.057386867535100146,100.13319742464554,0.3504661909862594,-0.2172687663407149
2023-06-19 18:55:00,Buy,1711.7,0.05821697727405503,100.0,0.35000000000000003,
2023-06-19 19:00:00,Buy,1713.9,0.058142248672618004,100.0,0.35000000000000003,
2023-06-20 16:25:00,Sell,1741.54,0.05764113836186951,100.38434810273021,0.35134521835955573,0.03300288437065896
2023-06-20 17:10:00,Sell,1750.51,0.05759516350899906,100.82090967413795,0.35287318385948285,0.4680364902784683
2023-06-20 17:50:00,Sell,1764.78,0.05910088369610344,104.30005752920943,0.365050201352233,3.9350073278571926
